Age,bp_cat
20-24,<120
20-24,120-129
20-24,130-139
20-24,140-149
20-24,150-159
20-24,160-169
20-24,170-179
20-24,180+
25-29,<120
25-29,120-129
25-29,130-139
25-29,140-149
25-29,150-159
25-29,160-169
25-29,170-179
25-29,180+
30-34,<120
30-34,120-129
30-34,130-139
30-34,140-149
30-34,150-159
30-34,160-169
30-34,170-179
30-34,180+
35-39,<120
35-39,120-129
35-39,130-139
35-39,140-149
35-39,150-159
35-39,160-169
35-39,170-179
35-39,180+
40-44,<120
40-44,120-129
40-44,130-139
40-44,140-149
40-44,150-159
40-44,160-169
40-44,170-179
40-44,180+
45-49,<120
45-49,120-129
45-49,130-139
45-49,140-149
45-49,150-159
45-49,160-169
45-49,170-179
45-49,180+
50-54,<120
50-54,120-129
50-54,130-139
50-54,140-149
50-54,150-159
50-54,160-169
50-54,170-179
50-54,180+
55-59,<120
55-59,120-129
55-59,130-139
55-59,140-149
55-59,150-159
55-59,160-169
55-59,170-179
55-59,180+
60-64,<120
60-64,120-129
60-64,130-139
60-64,140-149
60-64,150-159
60-64,160-169
60-64,170-179
60-64,180+
65-69,<120
65-69,120-129
65-69,130-139
65-69,140-149
65-69,150-159
65-69,160-169
65-69,170-179
65-69,180+
70-74,<120
70-74,120-129
70-74,130-139
70-74,140-149
70-74,150-159
70-74,160-169
70-74,170-179
70-74,180+
75-79,<120
75-79,120-129
75-79,130-139
75-79,140-149
75-79,150-159
75-79,160-169
75-79,170-179
75-79,180+
80-84,<120
80-84,120-129
80-84,130-139
80-84,140-149
80-84,150-159
80-84,160-169
80-84,170-179
80-84,180+
85plus,<120
85plus,120-129
85plus,130-139
85plus,140-149
85plus,150-159
85plus,160-169
85plus,170-179
85plus,180+
