"wb2021","location"
"LIC","Afghanistan"
"UMIC","Albania"
"LMIC","Algeria"
"UMIC","American Samoa"
"HIC","Andorra"
"LMIC","Angola"
"HIC","Antigua and Barbuda"
"UMIC","Argentina"
"UMIC","Armenia"
"HIC","Australia"
"HIC","Austria"
"UMIC","Azerbaijan"
"HIC","Bahrain"
"LMIC","Bangladesh"
"HIC","Barbados"
"UMIC","Belarus"
"HIC","Belgium"
"LMIC","Belize"
"LMIC","Benin"
"HIC","Bermuda"
"LMIC","Bhutan"
"LMIC","Bolivia"
"UMIC","Bosnia and Herzegovina"
"UMIC","Botswana"
"UMIC","Brazil"
"HIC","Brunei"
"UMIC","Bulgaria"
"LIC","Burkina Faso"
"LIC","Burundi"
"LMIC","Cambodia"
"LMIC","Cameroon"
"HIC","Canada"
"LMIC","Cape Verde"
"LIC","Central African Republic"
"LIC","Chad"
"HIC","Chile"
"UMIC","China"
"UMIC","Colombia"
"LMIC","Comoros"
"LMIC","Congo"
"UMIC","Costa Rica"
"LMIC","Cote d'Ivoire"
"HIC","Croatia"
"UMIC","Cuba"
"HIC","Cyprus"
"HIC","Czech Republic"
"LIC","Democratic Republic of the Congo"
"HIC","Denmark"
"LMIC","Djibouti"
"UMIC","Dominica"
"UMIC","Dominican Republic"
"UMIC","Ecuador"
"LMIC","Egypt"
"LMIC","El Salvador"
"UMIC","Equatorial Guinea"
"LIC","Eritrea"
"HIC","Estonia"
"LIC","Ethiopia"
"LMIC","Federated States of Micronesia"
"UMIC","Fiji"
"HIC","Finland"
"HIC","France"
"UMIC","Gabon"
"LIC","Georgia"
"UMIC","Germany"
"HIC","Ghana"
"LMIC","Greece"
"HIC","Greenland"
"HIC","Grenada"
"UMIC","Guam"
"UMIC","Guatemala"
"LIC","Guinea"
"LIC","Guinea-Bissau"
"UMIC","Guyana"
"LMIC","Haiti"
"LMIC","Honduras"
"HIC","Hungary"
"HIC","Iceland"
"LMIC","India"
"LMIC","Indonesia"
"LMIC","Iran"
"UMIC","Iraq"
"HIC","Ireland"
"HIC","Israel"
"HIC","Italy"
"UMIC","Jamaica"
"HIC","Japan"
"UMIC","Jordan"
"UMIC","Kazakhstan"
"LMIC","Kenya"
"LMIC","Kiribati"
"HIC","Kuwait"
"LMIC","Kyrgyzstan"
"LMIC","Laos"
"HIC","Latvia"
"UMIC","Lebanon"
"LMIC","Lesotho"
"LIC","Liberia"
"UMIC","Libya"
"HIC","Lithuania"
"HIC","Luxembourg"
"UMIC","Macedonia"
"LIC","Madagascar"
"LIC","Malawi"
"UMIC","Malaysia"
"UMIC","Maldives"
"LIC","Mali"
"HIC","Malta"
"UMIC","Marshall Islands"
"LMIC","Mauritania"
"UMIC","Mauritius"
"UMIC","Mexico"
"UMIC","Moldova"
"LMIC","Mongolia"
"UMIC","Montenegro"
"LMIC","Morocco"
"LIC","Mozambique"
"LMIC","Myanmar"
"UMIC","Namibia"
"LMIC","Nepal"
"HIC","Netherlands"
"HIC","New Zealand"
"LMIC","Nicaragua"
"LIC","Niger"
"LMIC","Nigeria"
"LIC","North Korea"
"HIC","Northern Mariana Islands"
"HIC","Norway"
"HIC","Oman"
"LMIC","Pakistan"
"LMIC","Palestine"
"UMIC","Panama"
"LMIC","Papua New Guinea"
"UMIC","Paraguay"
"UMIC","Peru"
"LMIC","Philippines"
"HIC","Poland"
"HIC","Portugal"
"HIC","Puerto Rico"
"HIC","Qatar"
"UMIC","Romania"
"UMIC","Russian Federation"
"LIC","Rwanda"
"UMIC","Saint Lucia"
"UMIC","Saint Vincent and the Grenadines"
"LMIC","Samoa"
"LMIC","Sao Tome and Principe"
"HIC","Saudi Arabia"
"LMIC","Senegal"
"UMIC","Serbia"
"HIC","Seychelles"
"LIC","Sierra Leone"
"HIC","Singapore"
"HIC","Slovakia"
"HIC","Slovenia"
"LMIC","Solomon Islands"
"LIC","Somalia"
"UMIC","South Africa"
"HIC","South Korea"
"LIC","South Sudan"
"HIC","Spain"
"LMIC","Sri Lanka"
"LIC","Sudan"
"UMIC","Suriname"
"LMIC","Swaziland"
"HIC","Sweden"
"HIC","Switzerland"
"LIC","Syria"
"HIC","Taiwan (Province of China)"
"LMIC","Tajikistan"
"LMIC","Tanzania"
"UMIC","Thailand"
"HIC","The Bahamas"
"LIC","The Gambia"
"LMIC","Timor-Leste"
"LIC","Togo"
"UMIC","Tonga"
"HIC","Trinidad and Tobago"
"LMIC","Tunisia"
"UMIC","Turkey"
"UMIC","Turkmenistan"
"LIC","Uganda"
"LMIC","Ukraine"
"HIC","United Arab Emirates"
"HIC","United Kingdom"
"HIC","United States"
"HIC","Uruguay"
"LMIC","Uzbekistan"
"LMIC","Vanuatu"
"UMIC","Venezuela"
"LMIC","Vietnam"
"HIC","Virgin Islands, U.S."
"LIC","Yemen"
"LMIC","Zambia"
"LMIC","Zimbabwe"
