"","year","Aspirational_Antihypertensive therapy","Aspirational_Both","Aspirational_Salt reduction","Business as usual","Progress_Antihypertensive therapy","Progress_Both","Progress_Salt reduction","aDA","rDA"
"1",2017,0,0,0,0,0,0,0,0,0
"2",2018,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,33773489.716264,0,0
"3",2019,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,34599516.9411535,0,0
"4",2020,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,35447471.8775022,0,0
"5",2021,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,36304434.1194278,0,0
"6",2022,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,37197963.1914056,0,0
"7",2023,37916110.6077534,37487001.0443072,37772786.420302,38212495.2053,37975692.7641948,37839444.7334674,38073639.0482703,725494.160992779,373050.471832611
"8",2024,38643539.3201876,37801552.3485018,38389230.8735247,39276017.6998595,38778936.92165,38508372.1267098,38994482.734784,1474465.35135768,767645.573149666
"9",2025,39382587.3559583,38148048.4479356,39051034.7514973,40391327.8600982,39612787.8651442,39210760.9869528,39963587.8311177,2243279.41216256,1180566.8731454
"10",2026,40134486.2214112,38529207.8531433,39757024.5898913,41558582.7008273,40481184.5142383,39950575.0361682,40980666.6906284,3029374.84768397,1608007.66465908
"11",2027,40894146.3826377,38941123.6218424,40498311.1153214,42769854.4208846,41381220.4760103,40724762.8519935,42037513.4907053,3828730.79904217,2045091.56889107
"12",2028,41668434.1142197,39779892.6038898,41742819.9734633,44026918.6037589,42321112.6346783,41541002.2893914,43135462.8771128,4247025.99986909,2485916.31436752
"13",2029,42454106.7451775,40633837.1705039,43024682.4694308,45319643.9530988,43297473.723901,42395403.5752866,44264280.0917185,4685806.78259487,2924240.37781214
"14",2030,43265656.6353134,41514503.0570415,44347590.5816388,46654921.7394032,44323249.3133244,43299738.5434186,45430291.8790768,5140418.68236165,3355183.19598459
"15",2031,44109430.1414868,42425768.2534418,45708425.0403723,48029772.3832049,45401732.5398335,44393743.1147094,46798143.9815014,5604004.12976313,3636029.2684955
"16",2032,44988658.9350507,43369441.0569252,47098894.1493675,49435427.3007335,46530702.0413299,45536631.0224004,48197536.6069018,6065986.24380838,3898796.27833314
"17",2033,45918706.2153632,44359201.2860171,48524574.8233718,50877253.774269,47719222.5759305,46736933.0523817,49633052.5627582,6518052.48825184,4140320.72188727
"18",2034,46890874.8326947,45386054.4073545,49967282.4488399,52335418.4691694,48951333.8118544,47979038.0923042,51085376.9197102,6949364.06181487,4356380.3768652
"19",2035,47921401.989361,46466172.7101688,51435781.0349006,53818047.8722256,50237192.5962159,49272801.7635649,52562774.4540063,7351875.1620568,4545246.10866073
"20",2036,49004898.5674234,47594043.8578383,52919074.205226,55313892.8835285,51565508.4378404,50607291.9482505,54054135.3654831,7719849.02569021,4706600.935278
"21",2037,50137504.2442724,48765365.1849921,54408610.5835989,56814229.5188745,52926951.2566694,51973366.3304296,55550851.7042209,8048864.33388244,4840863.18844491
"22",2038,51324860.3020957,49985624.7014738,55908267.1633786,58322442.3331479,54324341.7219018,53373597.1171318,57056546.4684686,8336817.63167412,4948845.21601608
"23",2039,52548098.8917121,51235919.1535182,57399040.8912159,59819816.4926015,55735815.1880222,54786673.9254009,58552348.7017732,8583897.33908329,5033142.56720063
"24",2040,53806235.0705896,52515895.5000099,58882959.8591249,61311239.031179,57158887.520999,56210512.5929604,60041763.2450005,8795343.53116912,5100726.43821868
"25",2041,55088225.1287272,53813255.3748319,60352711.433026,62785696.4608311,58585252.0686773,57635995.7881854,61515582.5574665,8972441.08599923,5149700.67264565
"26",2042,56379901.5327792,55116374.9168309,61797616.4153154,64237397.8505491,59998336.6473416,59047876.3943893,62965607.5017137,9121022.93371821,5189521.45615984
"27",2043,57659893.5376622,56402195.2767288,63203643.2927026,65650669.9120048,61382403.4317134,60429437.8075684,64376900.2957851,9248474.63527596,5221232.10443638
"28",2044,58963640.6483657,57707587.59205,64611120.9682938,67066879.5914813,62774800.5456689,61818119.6982042,65790371.5150868,9359291.99943122,5248759.89327705
"29",2045,60281252.5144693,59021734.7038773,66017711.5359208,68486080.4114451,64170306.5083936,63208379.7859084,67204799.9698566,9464345.70756779,5277700.62553671
"30",2046,61634877.3483169,60368699.1768357,67444605.1166086,69926021.0754532,65591374.7966619,64623117.9245481,68639690.4173756,9557321.89861754,5302903.15090514
"31",2047,62993926.926494,61717144.2059339,68867998.4475216,71364536.6130013,67010525.9039844,66034617.0594897,70072108.733466,9647392.40706746,5329919.5535116
"32",2048,64375889.069678,63087097.3011116,70300196.3958079,72809946.6626941,68442961.0556826,67459415.1202724,71512336.8742108,9722849.36158245,5350531.54242171
"33",2049,65769240.9111298,64468065.1575512,71729678.7862958,74249399.1088966,69876787.3570315,68886256.3648528,72948196.6718434,9781333.95134541,5363142.74404381
"34",2050,67159749.3951798,65847261.8986059,73141131.0747409,75666623.1935801,71296413.9891242,70300467.1618507,74363949.6585165,9819361.29497423,5366156.03172943
